label,query,flattened_query
9c,"select count(*) from  aka_name as an  join name as n on (n.gender ='f' and n.name like '%an%' and an.person_id = n.id) join cast_info as ci   on(ci.person_id = an.person_id and ci.note in ('(voice)', '(voice: japanese version)', '(voice) (uncredited)', '(voice: english version)')) join role_type as rt on (rt.role ='actress' and ci.role_id = rt.id) join char_name as chn on (chn.id = ci.person_role_id) join title as t on (ci.movie_id = t.id) join movie_companies as mc   on(mc.movie_id = ci.movie_id) join company_name as cn on (cn.country_code ='[us]' and mc.company_id = cn.id);","SELECT COUNT(*) FROM aka_name AS an JOIN name AS n ON n.gender = 'f' AND n.name LIKE '%an%' AND an.person_id = n.id JOIN cast_info AS ci ON ci.person_id = an.person_id AND ci.note IN ('(voice)', '(voice: japanese version)', '(voice) (uncredited)', '(voice: english version)') JOIN role_type AS rt ON rt.role = 'actress' AND ci.role_id = rt.id JOIN char_name AS chn ON chn.id = ci.person_role_id JOIN title AS t ON ci.movie_id = t.id JOIN movie_companies AS mc ON mc.movie_id = ci.movie_id JOIN company_name AS cn ON cn.country_code = '[us]' AND mc.company_id = cn.id"
9d,"select count(*) from  aka_name as an  join name as n on (n.gender ='f' and an.person_id = n.id) join cast_info as ci   on(ci.person_id = an.person_id and ci.note in ('(voice)', '(voice: japanese version)', '(voice) (uncredited)', '(voice: english version)')) join role_type as rt on (rt.role ='actress' and ci.role_id = rt.id) join char_name as chn on (chn.id = ci.person_role_id) join title as t on (ci.movie_id = t.id) join movie_companies as mc   on(mc.movie_id = ci.movie_id) join company_name as cn on (cn.country_code ='[us]' and mc.company_id = cn.id);","SELECT COUNT(*) FROM aka_name AS an JOIN name AS n ON n.gender = 'f' AND an.person_id = n.id JOIN cast_info AS ci ON ci.person_id = an.person_id AND ci.note IN ('(voice)', '(voice: japanese version)', '(voice) (uncredited)', '(voice: english version)') JOIN role_type AS rt ON rt.role = 'actress' AND ci.role_id = rt.id JOIN char_name AS chn ON chn.id = ci.person_role_id JOIN title AS t ON ci.movie_id = t.id JOIN movie_companies AS mc ON mc.movie_id = ci.movie_id JOIN company_name AS cn ON cn.country_code = '[us]' AND mc.company_id = cn.id"
10a,select count(*) from  cast_info as ci  join role_type as rt on (rt.role = 'actor' and rt.id = ci.role_id and ci.note like '%(voice)%' and ci.note like '%(uncredited)%') join title as t on (t.production_year > 2005 and t.id = ci.movie_id) join char_name as chn on (chn.id = ci.person_role_id) join movie_companies as mc   on(mc.movie_id = ci.movie_id) join company_type as ct on (ct.id = mc.company_type_id) join company_name as cn on (cn.country_code = '[ru]' and cn.id = mc.company_id);,SELECT COUNT(*) FROM cast_info AS ci JOIN role_type AS rt ON rt.role = 'actor' AND rt.id = ci.role_id AND ci.note LIKE '%(voice)%' AND ci.note LIKE '%(uncredited)%' JOIN title AS t ON t.production_year > 2005 AND t.id = ci.movie_id JOIN char_name AS chn ON chn.id = ci.person_role_id JOIN movie_companies AS mc ON mc.movie_id = ci.movie_id JOIN company_type AS ct ON ct.id = mc.company_type_id JOIN company_name AS cn ON cn.country_code = '[ru]' AND cn.id = mc.company_id
10b,select count(*) from  cast_info as ci  join role_type as rt on (rt.role = 'actor' and rt.id = ci.role_id and ci.note like '%(producer)%') join title as t on (t.production_year > 2010 and t.id = ci.movie_id) join char_name as chn on (chn.id = ci.person_role_id) join movie_companies as mc   on(mc.movie_id = ci.movie_id) join company_type as ct on (ct.id = mc.company_type_id) join company_name as cn on (cn.country_code = '[ru]' and cn.id = mc.company_id);,SELECT COUNT(*) FROM cast_info AS ci JOIN role_type AS rt ON rt.role = 'actor' AND rt.id = ci.role_id AND ci.note LIKE '%(producer)%' JOIN title AS t ON t.production_year > 2010 AND t.id = ci.movie_id JOIN char_name AS chn ON chn.id = ci.person_role_id JOIN movie_companies AS mc ON mc.movie_id = ci.movie_id JOIN company_type AS ct ON ct.id = mc.company_type_id JOIN company_name AS cn ON cn.country_code = '[ru]' AND cn.id = mc.company_id
10c,select count(*) from  cast_info as ci  join role_type as rt on (rt.id = ci.role_id and ci.note like '%(producer)%') join title as t on (t.production_year > 1990 and t.id = ci.movie_id) join char_name as chn on (chn.id = ci.person_role_id) join movie_companies as mc   on(mc.movie_id = ci.movie_id) join company_type as ct on (ct.id = mc.company_type_id) join company_name as cn on (cn.country_code = '[us]' and cn.id = mc.company_id);,SELECT COUNT(*) FROM cast_info AS ci JOIN role_type AS rt ON rt.id = ci.role_id AND ci.note LIKE '%(producer)%' JOIN title AS t ON t.production_year > 1990 AND t.id = ci.movie_id JOIN char_name AS chn ON chn.id = ci.person_role_id JOIN movie_companies AS mc ON mc.movie_id = ci.movie_id JOIN company_type AS ct ON ct.id = mc.company_type_id JOIN company_name AS cn ON cn.country_code = '[us]' AND cn.id = mc.company_id
11a,select count(*) from  movie_link as ml  join link_type as lt on (lt.link like '%follow%' and lt.id = ml.link_type_id) join title as t on (t.production_year between 1950 and 2000 and ml.movie_id = t.id) join movie_companies as mc   on(mc.movie_id = ml.movie_id and mc.note is null) join company_type as ct on (ct.kind ='production companies' and mc.company_type_id = ct.id) join company_name as cn on (cn.country_code !='[pl]' and (cn.name like '%film%' or cn.name like '%warner%') and mc.company_id = cn.id) join  (select movie_id from movie_keyword as mk  join keyword as k on (k.keyword ='sequel' and mk.keyword_id = k.id)) as t_mk  on(t_mk.movie_id = mc.movie_id);,SELECT COUNT(*) FROM movie_link AS ml JOIN link_type AS lt ON lt.link LIKE '%follow%' AND lt.id = ml.link_type_id JOIN title AS t ON t.production_year BETWEEN 1950 AND 2000 AND ml.movie_id = t.id JOIN movie_companies AS mc ON mc.movie_id = ml.movie_id AND mc.note IS NULL JOIN company_type AS ct ON ct.kind = 'production companies' AND mc.company_type_id = ct.id JOIN company_name AS cn ON cn.country_code <> '[pl]' AND (cn.name LIKE '%film%' OR cn.name LIKE '%warner%') AND mc.company_id = cn.id JOIN movie_keyword AS mk ON mk.movie_id = mc.movie_id JOIN keyword AS k ON k.keyword = 'sequel' AND mk.keyword_id = k.id
11b,"select count(*) from  movie_companies as mc  join company_type as ct on (ct.kind ='production companies' and mc.company_type_id = ct.id and mc.note is null) join title as t on (t.production_year = 1998 and t.title like '%money%' and t.id = mc.movie_id) join company_name as cn on (cn.country_code !='[pl]' and (cn.name like '%film%' or cn.name like '%warner%') and mc.company_id = cn.id) join  (select linked_movie_id, movie_id from movie_link as ml  join link_type as lt on (lt.link like '%follows%' and lt.id = ml.link_type_id)) as t_ml  on(t_ml.movie_id = mc.movie_id) join  (select movie_id from movie_keyword as mk  join keyword as k on (k.keyword ='sequel' and mk.keyword_id = k.id)) as t_mk  on(t_mk.movie_id = t_ml.movie_id);",SELECT COUNT(*) FROM movie_companies AS mc JOIN company_type AS ct ON ct.kind = 'production companies' AND mc.company_type_id = ct.id AND mc.note IS NULL JOIN title AS t ON t.production_year = 1998 AND t.title LIKE '%money%' AND t.id = mc.movie_id JOIN company_name AS cn ON cn.country_code <> '[pl]' AND (cn.name LIKE '%film%' OR cn.name LIKE '%warner%') AND mc.company_id = cn.id JOIN movie_link AS ml ON ml.movie_id = mc.movie_id JOIN link_type AS lt ON lt.link LIKE '%follows%' AND lt.id = ml.link_type_id JOIN movie_keyword AS mk ON mk.movie_id = ml.movie_id JOIN keyword AS k ON k.keyword = 'sequel' AND mk.keyword_id = k.id
11c,"select count(*) from  movie_link as ml  join link_type as lt on (lt.id = ml.link_type_id) join title as t on (t.production_year > 1950 and ml.movie_id = t.id) join movie_companies as mc   on(mc.movie_id = ml.movie_id and mc.note is not null) join company_type as ct on (ct.kind != 'production companies' and ct.kind is not null and mc.company_type_id = ct.id) join company_name as cn on (cn.country_code !='[pl]' and (cn.name like '20th century fox%' or cn.name like 'twentieth century fox%') and mc.company_id = cn.id) join  (select movie_id from movie_keyword as mk  join keyword as k on (k.keyword in ('sequel', 'revenge',  'based-on-novel') and mk.keyword_id = k.id)) as t_mk  on(t_mk.movie_id = mc.movie_id);","SELECT COUNT(*) FROM movie_link AS ml JOIN link_type AS lt ON lt.id = ml.link_type_id JOIN title AS t ON t.production_year > 1950 AND ml.movie_id = t.id JOIN movie_companies AS mc ON mc.movie_id = ml.movie_id AND mc.note IS NOT NULL JOIN company_type AS ct ON ct.kind <> 'production companies' AND ct.kind IS NOT NULL AND mc.company_type_id = ct.id JOIN company_name AS cn ON cn.country_code <> '[pl]' AND (cn.name LIKE '20th century fox%' OR cn.name LIKE 'twentieth century fox%') AND mc.company_id = cn.id JOIN movie_keyword AS mk ON mk.movie_id = mc.movie_id JOIN keyword AS k ON k.keyword IN ('sequel', 'revenge', 'based-on-novel') AND mk.keyword_id = k.id"
11d,"select count(*) from  movie_link as ml  join link_type as lt on (lt.id = ml.link_type_id) join title as t on (t.production_year > 1950 and ml.movie_id = t.id) join movie_companies as mc   on(mc.movie_id = ml.movie_id and mc.note is not null) join company_type as ct on (ct.kind != 'production companies' and ct.kind is not null and mc.company_type_id = ct.id) join company_name as cn on (cn.country_code !='[pl]' and mc.company_id = cn.id) join  (select movie_id from movie_keyword as mk  join keyword as k on (k.keyword in ('sequel', 'revenge', 'based-on-novel') and mk.keyword_id = k.id)) as t_mk  on(t_mk.movie_id = mc.movie_id);","SELECT COUNT(*) FROM movie_link AS ml JOIN link_type AS lt ON lt.id = ml.link_type_id JOIN title AS t ON t.production_year > 1950 AND ml.movie_id = t.id JOIN movie_companies AS mc ON mc.movie_id = ml.movie_id AND mc.note IS NOT NULL JOIN company_type AS ct ON ct.kind <> 'production companies' AND ct.kind IS NOT NULL AND mc.company_type_id = ct.id JOIN company_name AS cn ON cn.country_code <> '[pl]' AND mc.company_id = cn.id JOIN movie_keyword AS mk ON mk.movie_id = mc.movie_id JOIN keyword AS k ON k.keyword IN ('sequel', 'revenge', 'based-on-novel') AND mk.keyword_id = k.id"
12a,"select count(*) from  movie_info_idx as mi_idx  join info_type as it2 on (it2.info = 'rating' and mi_idx.info_type_id = it2.id and mi_idx.info > '8.0') join title as t on (t.production_year between 2005 and 2008 and t.id = mi_idx.movie_id) join movie_info as mi   on(mi.movie_id = mi_idx.movie_id and mi.info in ('drama', 'horror')) join info_type as it1 on (it1.info = 'genres' and mi.info_type_id = it1.id) join  (select movie_id from movie_companies as mc  join company_type as ct on (ct.kind = 'production companies' and ct.id = mc.company_type_id) join company_name as cn on (cn.country_code = '[us]' and cn.id = mc.company_id)) as t_mc  on(t_mc.movie_id = mi.movie_id);","SELECT COUNT(*) FROM movie_info_idx AS mi_idx JOIN info_type AS it2 ON it2.info = 'rating' AND mi_idx.info_type_id = it2.id AND mi_idx.info > '8.0' JOIN title AS t ON t.production_year BETWEEN 2005 AND 2008 AND t.id = mi_idx.movie_id JOIN movie_info AS mi ON mi.movie_id = mi_idx.movie_id AND mi.info IN ('drama', 'horror') JOIN info_type AS it1 ON it1.info = 'genres' AND mi.info_type_id = it1.id JOIN movie_companies AS mc ON mc.movie_id = mi.movie_id JOIN company_type AS ct ON ct.kind = 'production companies' AND ct.id = mc.company_type_id JOIN company_name AS cn ON cn.country_code = '[us]' AND cn.id = mc.company_id"
12b,select count(*) from  movie_info_idx as mi_idx  join info_type as it2 on (it2.info ='bottom 10 rank' and mi_idx.info_type_id = it2.id) join title as t on (t.production_year >2000 and (t.title like 'birdemic%' or t.title like '%movie%') and t.id = mi_idx.movie_id) join movie_companies as mc   on(mc.movie_id = mi_idx.movie_id) join company_type as ct on (ct.kind is not null and (ct.kind ='production companies' or ct.kind = 'distributors') and ct.id = mc.company_type_id) join company_name as cn on (cn.country_code ='[us]' and cn.id = mc.company_id) join  (select movie_id from movie_info as mi  join info_type as it1 on (it1.info ='budget' and mi.info_type_id = it1.id)) as t_mi  on(t_mi.movie_id = mc.movie_id);,SELECT COUNT(*) FROM movie_info_idx AS mi_idx JOIN info_type AS it2 ON it2.info = 'bottom 10 rank' AND mi_idx.info_type_id = it2.id JOIN title AS t ON t.production_year > 2000 AND (t.title LIKE 'birdemic%' OR t.title LIKE '%movie%') AND t.id = mi_idx.movie_id JOIN movie_companies AS mc ON mc.movie_id = mi_idx.movie_id JOIN company_type AS ct ON ct.kind IS NOT NULL AND (ct.kind = 'production companies' OR ct.kind = 'distributors') AND ct.id = mc.company_type_id JOIN company_name AS cn ON cn.country_code = '[us]' AND cn.id = mc.company_id JOIN movie_info AS mi ON mi.movie_id = mc.movie_id JOIN info_type AS it1 ON it1.info = 'budget' AND mi.info_type_id = it1.id
12c,"select count(*) from  movie_info_idx as mi_idx  join info_type as it2 on (it2.info = 'rating' and mi_idx.info_type_id = it2.id and mi_idx.info > '7.0') join title as t on (t.production_year between 2000 and 2010 and t.id = mi_idx.movie_id) join movie_info as mi   on(mi.movie_id = mi_idx.movie_id and mi.info in ('drama', 'horror', 'western', 'family')) join info_type as it1 on (it1.info = 'genres' and mi.info_type_id = it1.id) join  (select movie_id from movie_companies as mc  join company_type as ct on (ct.kind = 'production companies' and ct.id = mc.company_type_id) join company_name as cn on (cn.country_code = '[us]' and cn.id = mc.company_id)) as t_mc  on(t_mc.movie_id = mi.movie_id);","SELECT COUNT(*) FROM movie_info_idx AS mi_idx JOIN info_type AS it2 ON it2.info = 'rating' AND mi_idx.info_type_id = it2.id AND mi_idx.info > '7.0' JOIN title AS t ON t.production_year BETWEEN 2000 AND 2010 AND t.id = mi_idx.movie_id JOIN movie_info AS mi ON mi.movie_id = mi_idx.movie_id AND mi.info IN ('drama', 'horror', 'western', 'family') JOIN info_type AS it1 ON it1.info = 'genres' AND mi.info_type_id = it1.id JOIN movie_companies AS mc ON mc.movie_id = mi.movie_id JOIN company_type AS ct ON ct.kind = 'production companies' AND ct.id = mc.company_type_id JOIN company_name AS cn ON cn.country_code = '[us]' AND cn.id = mc.company_id"
13a,select count(*) from  movie_info_idx as miidx  join info_type as it on (it.info ='rating' and it.id = miidx.info_type_id) join title as t on (miidx.movie_id = t.id) join kind_type as kt on (kt.kind ='movie' and kt.id = t.kind_id) join  (select movie_id from movie_companies as mc  join company_type as ct on (ct.kind ='production companies' and ct.id = mc.company_type_id) join company_name as cn on (cn.country_code ='[de]' and cn.id = mc.company_id)) as t_mc  on(t_mc.movie_id = miidx.movie_id) join  (select movie_id from movie_info as mi  join info_type as it2 on (it2.info ='release dates' and it2.id = mi.info_type_id)) as t_mi  on(t_mi.movie_id = t_mc.movie_id);,SELECT COUNT(*) FROM movie_info_idx AS miidx JOIN info_type AS it ON it.info = 'rating' AND it.id = miidx.info_type_id JOIN title AS t ON miidx.movie_id = t.id JOIN kind_type AS kt ON kt.kind = 'movie' AND kt.id = t.kind_id JOIN movie_companies AS mc ON mc.movie_id = miidx.movie_id JOIN company_type AS ct ON ct.kind = 'production companies' AND ct.id = mc.company_type_id JOIN company_name AS cn ON cn.country_code = '[de]' AND cn.id = mc.company_id JOIN movie_info AS mi ON mi.movie_id = mc.movie_id JOIN info_type AS it2 ON it2.info = 'release dates' AND it2.id = mi.info_type_id
13b,select count(*) from  movie_info_idx as miidx  join info_type as it on (it.info ='rating' and it.id = miidx.info_type_id) join title as t on (t.title != '' and (t.title like '%champion%' or t.title like '%loser%') and miidx.movie_id = t.id) join kind_type as kt on (kt.kind ='movie' and kt.id = t.kind_id) join  (select movie_id from movie_companies as mc  join company_type as ct on (ct.kind ='production companies' and ct.id = mc.company_type_id) join company_name as cn on (cn.country_code ='[us]' and cn.id = mc.company_id)) as t_mc  on(t_mc.movie_id = miidx.movie_id) join  (select movie_id from movie_info as mi  join info_type as it2 on (it2.info ='release dates' and it2.id = mi.info_type_id)) as t_mi  on(t_mi.movie_id = t_mc.movie_id);,SELECT COUNT(*) FROM movie_info_idx AS miidx JOIN info_type AS it ON it.info = 'rating' AND it.id = miidx.info_type_id JOIN title AS t ON t.title <> '' AND (t.title LIKE '%champion%' OR t.title LIKE '%loser%') AND miidx.movie_id = t.id JOIN kind_type AS kt ON kt.kind = 'movie' AND kt.id = t.kind_id JOIN movie_companies AS mc ON mc.movie_id = miidx.movie_id JOIN company_type AS ct ON ct.kind = 'production companies' AND ct.id = mc.company_type_id JOIN company_name AS cn ON cn.country_code = '[us]' AND cn.id = mc.company_id JOIN movie_info AS mi ON mi.movie_id = mc.movie_id JOIN info_type AS it2 ON it2.info = 'release dates' AND it2.id = mi.info_type_id
13c,select count(*) from  movie_info_idx as miidx  join info_type as it on (it.info ='rating' and it.id = miidx.info_type_id) join title as t on (t.title != '' and (t.title like 'champion%' or t.title like 'loser%') and miidx.movie_id = t.id) join kind_type as kt on (kt.kind ='movie' and kt.id = t.kind_id) join  (select movie_id from movie_companies as mc  join company_type as ct on (ct.kind ='production companies' and ct.id = mc.company_type_id) join company_name as cn on (cn.country_code ='[us]' and cn.id = mc.company_id)) as t_mc  on(t_mc.movie_id = miidx.movie_id) join  (select movie_id from movie_info as mi  join info_type as it2 on (it2.info ='release dates' and it2.id = mi.info_type_id)) as t_mi  on(t_mi.movie_id = t_mc.movie_id);,SELECT COUNT(*) FROM movie_info_idx AS miidx JOIN info_type AS it ON it.info = 'rating' AND it.id = miidx.info_type_id JOIN title AS t ON t.title <> '' AND (t.title LIKE 'champion%' OR t.title LIKE 'loser%') AND miidx.movie_id = t.id JOIN kind_type AS kt ON kt.kind = 'movie' AND kt.id = t.kind_id JOIN movie_companies AS mc ON mc.movie_id = miidx.movie_id JOIN company_type AS ct ON ct.kind = 'production companies' AND ct.id = mc.company_type_id JOIN company_name AS cn ON cn.country_code = '[us]' AND cn.id = mc.company_id JOIN movie_info AS mi ON mi.movie_id = mc.movie_id JOIN info_type AS it2 ON it2.info = 'release dates' AND it2.id = mi.info_type_id
13d,select count(*) from  movie_info_idx as miidx  join info_type as it on (it.info ='rating' and it.id = miidx.info_type_id) join title as t on (miidx.movie_id = t.id) join kind_type as kt on (kt.kind ='movie' and kt.id = t.kind_id) join  (select movie_id from movie_companies as mc  join company_type as ct on (ct.kind ='production companies' and ct.id = mc.company_type_id) join company_name as cn on (cn.country_code ='[us]' and cn.id = mc.company_id)) as t_mc  on(t_mc.movie_id = miidx.movie_id) join  (select movie_id from movie_info as mi  join info_type as it2 on (it2.info ='release dates' and it2.id = mi.info_type_id)) as t_mi  on(t_mi.movie_id = t_mc.movie_id);,SELECT COUNT(*) FROM movie_info_idx AS miidx JOIN info_type AS it ON it.info = 'rating' AND it.id = miidx.info_type_id JOIN title AS t ON miidx.movie_id = t.id JOIN kind_type AS kt ON kt.kind = 'movie' AND kt.id = t.kind_id JOIN movie_companies AS mc ON mc.movie_id = miidx.movie_id JOIN company_type AS ct ON ct.kind = 'production companies' AND ct.id = mc.company_type_id JOIN company_name AS cn ON cn.country_code = '[us]' AND cn.id = mc.company_id JOIN movie_info AS mi ON mi.movie_id = mc.movie_id JOIN info_type AS it2 ON it2.info = 'release dates' AND it2.id = mi.info_type_id
14a,"select count(*) from  movie_keyword as mk  join keyword as k on (k.keyword in ('murder', 'murder-in-title', 'blood',  'violence') and k.id = mk.keyword_id) join title as t on (t.production_year > 2010 and t.id = mk.movie_id) join kind_type as kt on (kt.kind = 'movie' and kt.id = t.kind_id) join  (select movie_id from movie_info_idx as mi_idx  join info_type as it2 on (it2.info = 'rating' and it2.id = mi_idx.info_type_id and mi_idx.info < '8.5')) as t_mi_idx  on(t_mi_idx.movie_id = mk.movie_id) join movie_info as mi   on(mi.movie_id = t_mi_idx.movie_id and mi.info in ('sweden', 'norway', 'germany', 'denmark', 'swedish', 'denish', 'norwegian', 'german', 'usa', 'american')) join info_type as it1 on (it1.info = 'countries' and it1.id = mi.info_type_id);","SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword IN ('murder', 'murder-in-title', 'blood', 'violence') AND k.id = mk.keyword_id JOIN title AS t ON t.production_year > 2010 AND t.id = mk.movie_id JOIN kind_type AS kt ON kt.kind = 'movie' AND kt.id = t.kind_id JOIN movie_info_idx AS mi_idx ON mi_idx.movie_id = mk.movie_id JOIN info_type AS it2 ON it2.info = 'rating' AND it2.id = mi_idx.info_type_id AND mi_idx.info < '8.5' JOIN movie_info AS mi ON mi.movie_id = mi_idx.movie_id AND mi.info IN ('sweden', 'norway', 'germany', 'denmark', 'swedish', 'denish', 'norwegian', 'german', 'usa', 'american') JOIN info_type AS it1 ON it1.info = 'countries' AND it1.id = mi.info_type_id"
14b,"select count(*) from  movie_info_idx as mi_idx  join info_type as it2 on (it2.info = 'rating' and it2.id = mi_idx.info_type_id and mi_idx.info > '6.0') join title as t on (t.production_year > 2010 and (t.title like '%murder%' or t.title like '%murder%' or t.title like '%mord%') and t.id = mi_idx.movie_id) join kind_type as kt on (kt.kind = 'movie' and kt.id = t.kind_id) join  (select movie_id from movie_keyword as mk  join keyword as k on (k.keyword in ('murder', 'murder-in-title') and k.id = mk.keyword_id)) as t_mk  on(t_mk.movie_id = mi_idx.movie_id) join movie_info as mi   on(mi.movie_id = t_mk.movie_id and mi.info in ('sweden', 'norway', 'germany',  'denmark',  'swedish',  'denish', 'norwegian',  'german', 'usa',  'american')) join info_type as it1 on (it1.info = 'countries' and it1.id = mi.info_type_id);","SELECT COUNT(*) FROM movie_info_idx AS mi_idx JOIN info_type AS it2 ON it2.info = 'rating' AND it2.id = mi_idx.info_type_id AND mi_idx.info > '6.0' JOIN title AS t ON t.production_year > 2010 AND (t.title LIKE '%murder%' OR t.title LIKE '%murder%' OR t.title LIKE '%mord%') AND t.id = mi_idx.movie_id JOIN kind_type AS kt ON kt.kind = 'movie' AND kt.id = t.kind_id JOIN movie_keyword AS mk ON mk.movie_id = mi_idx.movie_id JOIN keyword AS k ON k.keyword IN ('murder', 'murder-in-title') AND k.id = mk.keyword_id JOIN movie_info AS mi ON mi.movie_id = mk.movie_id AND mi.info IN ('sweden', 'norway', 'germany', 'denmark', 'swedish', 'denish', 'norwegian', 'german', 'usa', 'american') JOIN info_type AS it1 ON it1.info = 'countries' AND it1.id = mi.info_type_id"
14c,"select count(*) from  movie_keyword as mk  join keyword as k on (k.keyword is not null and k.keyword in ('murder', 'murder-in-title', 'blood', 'violence') and k.id = mk.keyword_id) join title as t on (t.production_year > 2005 and t.id = mk.movie_id) join kind_type as kt on (kt.kind in ('movie', 'episode') and kt.id = t.kind_id) join  (select movie_id from movie_info_idx as mi_idx  join info_type as it2 on (it2.info = 'rating' and it2.id = mi_idx.info_type_id and mi_idx.info < '8.5')) as t_mi_idx  on(t_mi_idx.movie_id = mk.movie_id) join movie_info as mi   on(mi.movie_id = t_mi_idx.movie_id and mi.info in ('sweden', 'norway', 'germany', 'denmark', 'swedish', 'danish', 'norwegian', 'german', 'usa', 'american')) join info_type as it1 on (it1.info = 'countries' and it1.id = mi.info_type_id);","SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword IS NOT NULL AND k.keyword IN ('murder', 'murder-in-title', 'blood', 'violence') AND k.id = mk.keyword_id JOIN title AS t ON t.production_year > 2005 AND t.id = mk.movie_id JOIN kind_type AS kt ON kt.kind IN ('movie', 'episode') AND kt.id = t.kind_id JOIN movie_info_idx AS mi_idx ON mi_idx.movie_id = mk.movie_id JOIN info_type AS it2 ON it2.info = 'rating' AND it2.id = mi_idx.info_type_id AND mi_idx.info < '8.5' JOIN movie_info AS mi ON mi.movie_id = mi_idx.movie_id AND mi.info IN ('sweden', 'norway', 'germany', 'denmark', 'swedish', 'danish', 'norwegian', 'german', 'usa', 'american') JOIN info_type AS it1 ON it1.info = 'countries' AND it1.id = mi.info_type_id"
15a,select count(*) from  movie_info as mi  join info_type as it1 on (it1.info = 'release dates' and it1.id = mi.info_type_id and mi.note like '%internet%' and mi.info like 'usa:% 200%') join title as t on (t.production_year > 2000 and t.id = mi.movie_id) join aka_title as at   on(at.movie_id = mi.movie_id) join movie_companies as mc   on(mc.movie_id = at.movie_id and mc.note like '%(200%)%' and mc.note like '%(worldwide)%') join company_type as ct on (ct.id = mc.company_type_id) join company_name as cn on (cn.country_code = '[us]' and cn.id = mc.company_id) join movie_keyword as mk   on(mk.movie_id = mc.movie_id) join keyword as k on (k.id = mk.keyword_id);,SELECT COUNT(*) FROM movie_info AS mi JOIN info_type AS it1 ON it1.info = 'release dates' AND it1.id = mi.info_type_id AND mi.note LIKE '%internet%' AND mi.info LIKE 'usa:% 200%' JOIN title AS t ON t.production_year > 2000 AND t.id = mi.movie_id JOIN aka_title AS at ON at.movie_id = mi.movie_id JOIN movie_companies AS mc ON mc.movie_id = at.movie_id AND mc.note LIKE '%(200%)%' AND mc.note LIKE '%(worldwide)%' JOIN company_type AS ct ON ct.id = mc.company_type_id JOIN company_name AS cn ON cn.country_code = '[us]' AND cn.id = mc.company_id JOIN movie_keyword AS mk ON mk.movie_id = mc.movie_id JOIN keyword AS k ON k.id = mk.keyword_id
15b,select count(*) from  movie_info as mi  join info_type as it1 on (it1.info = 'release dates' and it1.id = mi.info_type_id and mi.note like '%internet%' and mi.info like 'usa:% 200%') join title as t on (t.production_year between 2005 and 2010 and t.id = mi.movie_id) join aka_title as at   on(at.movie_id = mi.movie_id) join movie_companies as mc   on(mc.movie_id = at.movie_id and mc.note like '%(200%)%' and mc.note like '%(worldwide)%') join company_name as cn on (cn.country_code = '[us]' and cn.name = 'youtube' and cn.id = mc.company_id) join company_type as ct on (ct.id = mc.company_type_id) join movie_keyword as mk   on(mk.movie_id = mc.movie_id) join keyword as k on (k.id = mk.keyword_id);,SELECT COUNT(*) FROM movie_info AS mi JOIN info_type AS it1 ON it1.info = 'release dates' AND it1.id = mi.info_type_id AND mi.note LIKE '%internet%' AND mi.info LIKE 'usa:% 200%' JOIN title AS t ON t.production_year BETWEEN 2005 AND 2010 AND t.id = mi.movie_id JOIN aka_title AS at ON at.movie_id = mi.movie_id JOIN movie_companies AS mc ON mc.movie_id = at.movie_id AND mc.note LIKE '%(200%)%' AND mc.note LIKE '%(worldwide)%' JOIN company_name AS cn ON cn.country_code = '[us]' AND cn.name = 'youtube' AND cn.id = mc.company_id JOIN company_type AS ct ON ct.id = mc.company_type_id JOIN movie_keyword AS mk ON mk.movie_id = mc.movie_id JOIN keyword AS k ON k.id = mk.keyword_id
15c,select count(*) from  movie_info as mi  join info_type as it1 on (it1.info = 'release dates' and it1.id = mi.info_type_id and mi.note like '%internet%' and mi.info is not null and (mi.info like 'usa:% 199%' or mi.info like 'usa:% 200%')) join title as t on (t.production_year > 1990 and t.id = mi.movie_id) join aka_title as at   on(at.movie_id = mi.movie_id) join movie_companies as mc   on(mc.movie_id = at.movie_id) join company_type as ct on (ct.id = mc.company_type_id) join company_name as cn on (cn.country_code = '[us]' and cn.id = mc.company_id) join movie_keyword as mk   on(mk.movie_id = mc.movie_id) join keyword as k on (k.id = mk.keyword_id);,SELECT COUNT(*) FROM movie_info AS mi JOIN info_type AS it1 ON it1.info = 'release dates' AND it1.id = mi.info_type_id AND mi.note LIKE '%internet%' AND mi.info IS NOT NULL AND (mi.info LIKE 'usa:% 199%' OR mi.info LIKE 'usa:% 200%') JOIN title AS t ON t.production_year > 1990 AND t.id = mi.movie_id JOIN aka_title AS at ON at.movie_id = mi.movie_id JOIN movie_companies AS mc ON mc.movie_id = at.movie_id JOIN company_type AS ct ON ct.id = mc.company_type_id JOIN company_name AS cn ON cn.country_code = '[us]' AND cn.id = mc.company_id JOIN movie_keyword AS mk ON mk.movie_id = mc.movie_id JOIN keyword AS k ON k.id = mk.keyword_id
